date,hex,name,priority,teleport?
24/05/0001,F1,Born,0,0
22/05/0447,F1,Locked Away,0,0
22/05/1447,F1,THE TOMB IS OPENED,3,0
23/05/1447,F1,Freed by party,0,0
01/06/1447,H2,Defend Dun Eilean,0,0
03/06/1447,H3,Travel on Ban Sidhe with party,0,0
04/06/1447,G4,Ban Sidhe,0,0
05/06/1447,G5,Ban Sidhe,0,0
06/06/1447,F5,Ban Sidhe,0,0
07/06/1447,E6,Ban Sidhe,0,0
08/06/1447,D6,Kalerol gains The Ring,3,0
09/06/1447,D7,Ban Sidhe,0,0
10/06/1447,D8,Ban Sidhe,0,0
11/06/1447,C9,Ban Sidhe,0,0
12/06/1447,C10,Reach Alt Muirac,0,0
+1,D10,Travel To Bunree,0,0
+1,E12,Travel To Bunree,0,0
+1,G13,Travel To Bunree,0,0
+1,H12,Bunree,0,0
+1,I13,Travel To Tower,0,0
+1,J13,Tower,0,0
+1,J13,Kalerol's tower grows,3,0
+1,J13,Tower,0,0
